コード,銘柄名,市場,現在値,前日比(%),入力CSV,配当利回り(予)(%),時価総額(百万円),PBR(株価純資産倍率)(倍),ROE(自己資本利益率)(%),自己資本比率(%),PER(株価収益率)(予)(倍),売上高成長率(予)(%),経常利益成長率(予)(%),過去3年平均売上高成長率(予)(%),経常利益変化率(%)
7318,セレンディップＨＬＤＧ,東G,1433,-65.0(-4.34%),8274.csv,,,,,,11.96,34.86,36.48,65.72,
7327,第四北越ＦＧ,東P,2525,+26.0(+1.04%),8271.csv,3.07,"696,036",,,,,,,,
7352,ＴＷＯＳＴＯＮＥ＆Ｓｏｎｓ,東G,347,-13.0(-3.61%),8274.csv,,,,,,28.68,18.93,23.92,22.66,
7353,ＫＩＹＯラーニング,東G,555,+6.0(+1.09%),8274.csv,,,,,,12.70,12.30,38.61,12.45,
7366,ＬＩＴＡＬＩＣＯ,東P,1941,+14.0(+0.73%),8274.csv,,,,,,19.22,16.77,28.80,15.96,
7373,アイドマＨＬＤＧ,東G,945,-21.0(-2.17%),8271.csv,3.17,"14,478",,,,,,,,
7374,コンフィデンス・インターワーク,東G,1522,+3.0(+0.20%),8271.csv,5.58,"10,220",,,,,,,,
7383,ネットプロテクションズＨＬＤＧ,東P,463,+0.0(+0.00%),8274.csv,,,,,,20.81,11.59,23.20,10.58,
7388,ＦＰパートナー,東P,2305,+40.0(+1.77%),8271.csv,4.08,"53,642",,,,,,,,
7409,ＡｅｒｏＥｄｇｅ,東G,1593,+46.0(+2.97%),8274.csv,,,,,,23.36,61.35,32.14,50.91,
7447,ナガイレーベン,東P,1792,-1.0(-0.06%),8271.csv,3.35,"55,079",,,,,,,,
7453,良品計画,東P,4297.0,+8.0(+0.19%),8274.csv / 8275.csv,,"2,413,023",,16.30,,35.01,15.48,32.42,17.02,29.63
7458,第一興商,東P,1899.0,+8.0(+0.42%),8271.csv,3.39,"197,436",,,,,,,,
7483,ドウシシャ,東P,3045,+35.0(+1.16%),8271.csv,3.69,"113,809",,,,,,,,
7508,Ｇ―７ＨＬＤＧ,東P,1456,+4.0(+0.28%),8271.csv,4.81,"64,168",,,,,,,,
7510,たけびし,東P,2791,+31.0(+1.12%),8274.csv,,,,,,10.65,12.87,36.99,10.82,
7537,丸文,東P,1826,+2.0(+0.11%),8271.csv,4.22,"51,221",,,,,,,,
7550,ゼンショーＨＬＤＧ,東P,11805.0,+120.0(+1.03%),8274.csv / 8275.csv,,"2,015,505",,15.80,,34.34,10.21,17.37,10.70,8.86
7561,ハークスレイＨＬＤＧ,東S,704,+10.0(+1.44%),8271.csv,4.26,"13,411",,,,,,,,
7564,ワークマン,東S,6300,+10.0(+0.16%),8274.csv,,,,,,21.81,11.40,14.84,14.39,
7575,日本ライフライン,東P,1571,+6.0(+0.38%),8271.csv,3.89,"112,012",,,,,,,,
7581,サイゼリヤ,東P,7270,-40.0(-0.55%),8274.csv,,,,,,29.57,16.23,15.65,15.28,
7593,ＶＴ　ＨＬＤＧ,東P,532,+1.0(+0.19%),8271.csv,4.51,"65,213",,,,,,,,
7599,ＩＤＯＭ,東P,1287,+8.0(+0.63%),8271.csv,3.25,"137,565",,,,,,,,
7606,ユナイテッドアローズ,東P,2481,-33.0(-1.31%),8271.csv,3.87,"74,960",,,,,,,,
7609,ダイトロン,東P,4095,+125.0(+3.15%),8274.csv,,,,,,13.91,16.34,25.77,13.26,
7613,シークス,東P,1567,-6.0(-0.38%),8271.csv,3.19,"78,977",,,,,,,,
7649,スギＨＬＤＧ,東P,2730.0,-21.5(-0.78%),8275.csv,,"532,553",,16.60,,,,6.82,11.96,19.22
7685,ＢｕｙＳｅｌｌ　Ｔｅｃｈ,東G,3270,-30.0(-0.91%),8274.csv,,,,,,21.46,37.64,75.99,51.96,
7686,ひとまいる,東S,441,-3.0(-0.68%),8271.csv,4.54,"12,938",,,,,,,,
7695,交換できるくん,東G,919,+17.0(+1.88%),8274.csv,,,,,,22.86,26.34,169.23,24.37,
7723,愛知時計電機,東P,2891,+30.0(+1.05%),8271.csv,4.15,"44,579",,,,,,,,
7729,東京精密,東P,18100.0,+90.0(+0.50%),8274.csv / 8275.csv,,"765,358",,13.60,,24.14,13.47,27.31,12.14,16.32
7740,タムロン,東P,1367,-16.0(-1.16%),8271.csv,3.39,"233,484",,,,,,,,
7741,ＨＯＹＡ,東P,24965.0,-30.0(-0.12%),8275.csv,,"8,359,231",,25.40,,,,5.69,9.60,26.04
7744,ノーリツ鋼機,東P,2045,+7.0(+0.34%),8271.csv / 8274.csv,3.67,"219,637",,,,12.09,43.81,20.28,26.86,
7747,朝日インテック,東P,3924.0,-100.0(-2.49%),8274.csv,,,,,,33.28,19.34,49.46,15.41,
7751,キヤノン,東P,4639.0,+30.0(+0.65%),8271.csv,3.53,"6,187,327",,,,,,,,
7760,ＩＭＶ,東S,2028,+28.0(+1.40%),8274.csv,,,,,,14.70,17.05,16.78,17.00,
7762,シチズン時計,東P,2724,+19.0(+0.70%),8275.csv,,"670,104",,11.30,,,,7.81,9.60,67.03
7775,大研医器,東S,427,-1.0(-0.23%),8271.csv,4.68,"13,596",,,,,,,,
7806,ＭＴＧ,東G,9090,+110.0(+1.22%),8274.csv,,,,,,33.65,42.19,48.40,39.82,
7809,壽屋,東S,1325,+5.0(+0.38%),8271.csv,3.92,"11,330",,,,,,,,
7811,中本パックス,東S,1960,-3.0(-0.15%),8271.csv,3.78,"17,485",,,,,,,,
7819,粧美堂,東S,998,+22.0(+2.25%),8271.csv,3.31,"13,383",,,,,,,,
7832,バンダイナムコＨＬＤＧ,東P,5658.0,+82.0(+1.47%),8275.csv,,"3,649,410",,17.00,,,,6.16,6.34,8.29
7839,ＳＨＯＥＩ,東P,2083,+10.0(+0.48%),8271.csv,3.13,"108,980",,,,,,,,
7849,スターツ出版,東S,3050,+15.0(+0.49%),8271.csv,4.26,"11,712",,,,,,,,
7856,萩原工業,東P,1881,-11.0(-0.58%),8271.csv,3.99,"28,022",,,,,,,,
7860,エイベックス,東P,1299,+18.0(+1.41%),8271.csv,3.85,"59,873",,,,,,,,
7888,三光合成,東P,916,+13.0(+1.44%),8271.csv,3.49,"28,111",,,,,,,,
7906,ヨネックス,東S,2772,-92.0(-3.21%),8274.csv,,,,,,17.58,10.58,13.12,14.39,
7914,共同印刷,東P,1752,-7.0(-0.40%),8271.csv,4.57,"52,560",,,,,,,,
7915,ＮＩＳＳＨＡ,東P,1304,+2.0(+0.15%),8271.csv,4.12,"62,613",,,,,,,,
7931,未来工業,東P,3705,+35.0(+0.95%),8271.csv,4.05,"94,874",,,,,,,,
7932,ニッピ,東S,11870,-10.0(-0.08%),8271.csv,5.91,"34,292",,,,,,,,
7936,アシックス,東P,4536.0,-159.0(-3.39%),8274.csv / 8275.csv,,"3,331,611",,39.10,,25.82,23.69,29.25,21.58,50.42
7942,ＪＳＰ,東P,3115,+30.0(+0.97%),8271.csv,3.21,"81,635",,,,,,,,
7943,ニチハ,東P,3125,+20.0(+0.64%),8271.csv,3.87,"107,772",,,,,,,,
7944,ローランド,東P,3860,+5.0(+0.13%),8271.csv,4.40,"102,601",,,,,,,,
7956,ピジョン,東P,2142.5,-6.5(-0.30%),8271.csv,3.56,"260,643",,,,,,,,
7965,象印マホービン,東P,1495,+10.0(+0.67%),8271.csv,3.48,"108,537",,,,,,,,
7972,イトーキ,東P,2644,+57.0(+2.20%),8271.csv / 8274.csv,3.59,"141,144",,,,11.22,11.68,23.20,11.34,
7974,任天堂,東P,8896.0,+32.0(+0.36%),8275.csv,,"11,451,465",,14.90,,,,8.88,41.05,45.63
7990,グローブライド,東P,2466,-57.0(-2.26%),8271.csv,4.06,"54,743",,,,,,,,
7994,オカムラ,東P,2375,+10.0(+0.42%),8271.csv,4.55,"238,975",,,,,,,,
7995,バルカー,東P,6680,+0.0(+0.00%),8271.csv,3.09,"124,841",,,,,,,,
8002,丸紅,東P,4907.0,-50.0(-1.01%),8275.csv,,"8,149,340",,13.60,,,,10.53,5.56,5.60
8008,ヨンドシーＨＬＤＧ,東P,2169,-20.0(-0.91%),8271.csv,3.92,"52,775",,,,,,,,
8015,豊田通商,東P,7535.0,+51.0(+0.68%),8275.csv,,"7,113,598",,12.80,,,,15.54,10.07,5.23
8016,オンワードＨＬＤＧ,東P,777,-1.0(-0.13%),8271.csv,4.21,"110,273",,,,,,,,
8020,兼松,東P,2192.5,+11.5(+0.53%),8271.csv,3.21,"370,533",,,,,,,,
8035,東京エレクトロン,東P,55500.0,+90.0(+0.16%),8274.csv,,,,,,33.97,37.23,56.30,17.43,
8050,セイコーグループ,東P,11230,+330.0(+3.03%),8274.csv,,,,,,37.73,12.26,24.60,11.20,
8056,ＢＩＰＲＯＧＹ,東P,4650.0,+21.0(+0.45%),8271.csv / 8275.csv,3.04,"460,162",,17.90,,,,8.60,8.20,13.03
8057,内田洋行,東P,2255,+26.0(+1.17%),8271.csv,3.19,"117,478",,,,,,,,
8061,西華産業,東P,3120,+65.0(+2.13%),8274.csv,,,,,,14.59,15.22,11.78,15.48,
8078,阪和興業,東P,1858,-10.0(-0.54%),8271.csv,3.07,"393,270",,,,,,,,
8101,ＧＳＩクレオス,東P,2734,+19.0(+0.70%),8271.csv,3.88,"34,530",,,,,,,,
8111,ゴールドウイン,東P,2166.5,-18.5(-0.85%),8271.csv,3.20,"308,389",,,,,,,,
8129,東邦ＨＬＤＧ,東P,3979.0,+26.0(+0.66%),8271.csv,3.90,"290,570",,,,,,,,
8130,サンゲツ,東P,3200,+20.0(+0.63%),8271.csv,4.84,"189,440",,,,,,,,
8136,サンリオ,東P,1210.0,-4.5(-0.37%),8274.csv / 8275.csv,,"1,545,221",,41.60,,22.80,18.10,15.59,25.77,48.42
8151,東陽テクニカ,東P,1974,+2.0(+0.10%),8271.csv,3.55,"51,492",,,,,,,,
8154,加賀電子,東P,4980,+85.0(+1.74%),8271.csv,3.15,"261,384",,,,,,,,
8174,日本瓦斯,東P,2973.0,-2.5(-0.08%),8271.csv,3.73,"320,941",,,,,,,,
8185,チヨダ,東P,1071,-1.0(-0.09%),8271.csv,4.93,"36,799",,,,,,,,
8217,オークワ,東P,813,+8.0(+0.99%),8271.csv,3.20,"34,095",,,,,,,,
8219,青山商事,東P,777,+1.0(+0.13%),8271.csv,4.89,"117,468",,,,,,,,
8252,丸井グループ,東P,2982.0,-40.0(-1.32%),8271.csv / 8275.csv,4.55,"547,675",,11.60,,,,6.34,8.48,6.85
8253,クレディセゾン,東P,4807.0,+72.0(+1.52%),8271.csv,3.34,"774,420",,,,,,,,
8358,スルガ銀行,東P,2946,+32.0(+1.10%),8274.csv,,,,,,14.17,19.73,23.87,20.20,
8359,八十二長野銀行,東P,2641.5,+32.0(+1.23%),8274.csv,,,,,,16.23,11.77,23.87,15.89,
8410,セブン銀行,東P,337.8,+2.4(+0.72%),8271.csv,3.26,"398,370",,,,,,,,
8418,山口ＦＧ,東P,3161.0,+34.0(+1.09%),8274.csv,,,,,,14.57,31.86,42.92,27.21,
8424,芙蓉総合リース,東P,4459.0,+29.0(+0.65%),8271.csv,3.99,"405,160",,,,,,,,
8425,みずほリース,東P,1384,+8.0(+0.58%),8271.csv,3.90,"391,210",,,,,,,,
8439,東京センチュリー,東P,2601.5,+17.0(+0.66%),8271.csv / 8275.csv,3.43,"1,280,233",,10.40,,,,8.98,5.80,23.55
8473,ＳＢＩ　ＨＬＤＧ,東P,3394.0,+162.0(+5.01%),8271.csv,3.39,"2,243,993",,,,,,,,
8566,リコーリース,東P,6800,+30.0(+0.44%),8271.csv,3.76,"212,454",,,,,,,,
8570,イオンフィナンシャルサービス,東P,1722.5,-1.5(-0.09%),8271.csv,3.11,"372,077",,,,,,,,
8572,アコム,東S,494.1,+3.3(+0.67%),8271.csv,4.45,"774,064",,,,,,,,
8584,ジャックス,東P,3880,+45.0(+1.17%),8271.csv,5.15,"174,833",,,,,,,,
8585,オリエントコーポレーション,東P,884,-2.0(-0.23%),8271.csv,4.52,"151,949",,,,,,,,
8591,オリックス,東P,6325.0,+46.0(+0.73%),8271.csv / 8275.csv,3.16,"7,109,977",,10.40,,,,64.14,14.12,43.91
8593,三菱ＨＣキャピタル,東P,1407.5,+13.5(+0.97%),8271.csv,3.75,"2,064,679",,,,,,,,
8595,ジャフコ　グループ,東P,2340.5,+13.0(+0.56%),8271.csv,5.87,"126,972",,,,,,,,
8601,大和証券グループ本社,東P,1814.0,+0.5(+0.03%),8271.csv,3.73,"2,846,854",,,,,,,,
8604,野村ＨＬＤＧ,東P,1603.5,+32.0(+2.04%),8271.csv,3.52,"4,952,511",,,,,,,,
8616,東海東京フィナンシャルＨＬＤＧ,東P,872,+8.0(+0.93%),8271.csv,3.44,"227,228",,,,,,,,
8628,松井証券,東P,1127,+9.0(+0.81%),8271.csv / 8274.csv,5.15,"292,191",,,,13.61,26.09,36.47,30.14,
8697,日本取引所グループ,東P,2288.5,+26.0(+1.15%),8271.csv / 8274.csv / 8275.csv,3.35,"2,361,240",,23.10,,23.58,22.70,31.09,21.97,29.51
8698,マネックスグループ,東P,741,+3.0(+0.41%),8271.csv,4.10,"186,471",,,,,,,,
8725,ＭＳ＆ＡＤインシュアランスＨＤ,東P,5084.0,+12.0(+0.24%),8271.csv,3.35,"7,588,134",,,,,,,,
8729,ソニーフィナンシャルグループ,東P,162.7,+0.6(+0.37%),8271.csv,4.95,"1,101,537",,,,,,,,
8739,スパークス・グループ,東P,2585,+75.0(+2.99%),8271.csv,3.64,"107,298",,,,,,,,
8750,第一ライフグループ,東P,1824.5,+22.5(+1.25%),8271.csv,3.88,"6,609,503",,,,,,,,
8766,東京海上ＨＬＤＧ,東P,7629.0,+221.0(+2.98%),8271.csv,3.22,"14,754,486",,,,,,,,
8771,イー・ギャランティ,東P,1825,-4.0(-0.22%),8271.csv,4.60,"82,737",,,,,,,,
8795,Ｔ＆Ｄ　ＨＬＤＧ,東P,4851.0,+84.0(+1.76%),8271.csv,3.36,"2,367,288",,,,,,,,
8802,三菱地所,東P,3783.0,+73.0(+1.97%),8274.csv,,,,,,18.64,14.04,19.34,12.27,
8803,平和不動産,東P,2423,+21.0(+0.87%),8271.csv,4.25,"172,081",,,,,,,,
8804,東京建物,東P,3425.0,+8.0(+0.23%),8271.csv / 8275.csv,3.67,"712,327",,10.40,,,,9.12,6.52,9.01
8841,テーオーシー,東S,1034,+3.0(+0.29%),8274.csv,,,,,,29.43,12.17,43.57,13.69,
8850,スターツコーポレーション,東P,4735,+30.0(+0.64%),8271.csv / 8275.csv,3.20,"255,681",,13.90,,,,7.86,10.70,14.49
8864,空港施設,東S,981,+9.0(+0.93%),8271.csv,4.28,"51,018",,,,,,,,
8871,ゴールドクレスト,東S,3380,+35.0(+1.05%),8271.csv / 8274.csv,4.73,"120,950",,,,10.84,40.76,75.43,20.95,
8876,リログループ,東P,2169.5,-19.5(-0.89%),8271.csv,3.18,"331,969",,,,,,,,
8897,ＭＩＲＡＲＴＨＨＬＤＧ,東P,466,+4.0(+0.87%),8271.csv,4.94,"64,280",,,,,,,,
8919,カチタス,東P,3765,+65.0(+1.76%),8274.csv / 8275.csv,,"296,120",,25.20,,20.48,17.54,16.65,17.38,28.34
8920,東祥,東S,733,+4.0(+0.55%),8273.csv,,"28,085",0.70,9.60,52.49,8.90,,,,
8923,トーセイ,東P,1840,+14.0(+0.77%),8271.csv / 8274.csv / 8275.csv,3.17,"179,455",,15.30,,10.87,27.32,14.70,21.11,18.81
8929,青山財産ネットワークス,東S,1396,+7.0(+0.50%),8271.csv,4.15,"35,085",,,,,,,,
8934,サンフロンティア不動産,東P,2535,+8.0(+0.32%),8271.csv,3.35,"145,528",,,,,,,,
9006,京浜急行電鉄,東P,1583.5,-2.5(-0.16%),8271.csv / 8274.csv,3.01,"436,667",,,,13.31,28.43,49.45,15.30,
9007,小田急電鉄,東P,1773.5,-15.0(-0.84%),8271.csv,3.38,"653,531",,,,,,,,
9021,西日本旅客鉄道,東P,2986.0,+0.0(+0.00%),8271.csv,3.26,"1,360,306",,,,,,,,
9025,鴻池運輸,東P,2945,+18.0(+0.61%),8271.csv,3.74,"167,725",,,,,,,,
9028,ゼロ,東S,3470,+10.0(+0.29%),8271.csv,4.44,"60,934",,,,,,,,
9031,西日本鉄道,東P,3100.0,-8.0(-0.26%),8271.csv,3.06,"246,017",,,,,,,,
9039,サカイ引越センター,東P,3000,-10.0(-0.33%),8271.csv,3.90,"126,972",,,,,,,,
9065,山九,東P,8399.0,-26.0(-0.31%),8271.csv,3.28,"444,322",,,,,,,,
9076,セイノーＨＬＤＧ,東P,2776.0,-21.5(-0.77%),8271.csv,3.83,"520,999",,,,,,,,
9090,ＡＺ−ＣＯＭ丸和ＨＬＤＧ,東P,881,-4.0(-0.45%),8271.csv / 8275.csv,3.65,"121,564",,12.40,,,,10.02,9.40,7.60
9101,日本郵船,東P,6964.0,-177.0(-2.48%),8271.csv,3.41,"2,822,660",,,,,,,,
9104,商船三井,東P,7074.0,-140.0(-1.94%),8274.csv,,,,,,11.25,19.97,22.91,11.05,
9107,川崎汽船,東P,3306.0,-115.0(-3.36%),8271.csv,3.63,"2,113,103",,,,,,,,
9142,九州旅客鉄道,東P,3536.0,-7.0(-0.20%),8271.csv,3.44,"546,839",,,,,,,,
9143,ＳＧ　ＨＬＤＧ,東P,1528.5,-24.0(-1.55%),8271.csv,3.53,"978,843",,,,,,,,
9166,ＧＥＮＤＡ,東G,776,+6.0(+0.78%),8274.csv,,,,,,20.21,29.81,77.29,40.83,
9168,ライズ・コンサルティング・グル,東G,421,+4.0(+0.96%),8271.csv,4.99,"10,523",,,,,,,,
9201,日本航空,東P,3043.0,+20.0(+0.66%),8271.csv,3.20,"1,391,088",,,,,,,,
9216,ビーウィズ,東P,1719,+13.0(+0.76%),8271.csv,4.48,"24,716",,,,,,,,
9218,メンタルヘルステクノロジーズ,東G,777,+5.0(+0.65%),8274.csv,,,,,,27.17,42.96,25.57,33.85,
9245,リベロ,東G,1960,-12.0(-0.61%),8274.csv,,,,,,12.23,21.43,63.40,21.56,
9251,ＡＢ＆Ｃｏｍｐａｎｙ,東G,1549,+18.0(+1.18%),8271.csv / 8274.csv,3.87,"23,618",,,,15.01,16.11,49.76,11.24,
9279,ギフトＨＬＤＧ,東P,5160,+120.0(+2.38%),8274.csv,,,,,,33.62,21.69,42.92,23.83,
9332,ＮＩＳＳＯＨＬＤＧ,東P,680,+13.0(+1.95%),8271.csv,3.46,"23,137",,,,,,,,
9364,上組,東P,4875.0,+10.0(+0.21%),8271.csv,4.33,"519,562",,,,,,,,
9409,テレビ朝日ＨＬＤＧ,東P,3155,+10.0(+0.32%),8271.csv,3.15,"342,409",,,,,,,,
9416,ビジョン,東P,1047,-7.0(-0.66%),8271.csv,4.87,"53,333",,,,,,,,
9432,ＮＴＴ,東P,169.6,+0.4(+0.24%),8271.csv,3.13,"15,357,333",,,,,,,,
9434,ソフトバンク,東P,239.5,+0.2(+0.08%),8271.csv / 8275.csv,3.74,"11,516,089",,19.30,,,,12.25,7.43,5.68
9438,エムティーアイ,東P,607,+5.0(+0.83%),8271.csv,3.29,"36,684",,,,,,,,
9449,ＧＭＯインターネットグループ,東P,4048.0,-20.0(-0.49%),8275.csv,,"434,549",,16.30,,,,15.83,5.92,10.89
9450,ファイバーゲート,東S,789,+16.0(+2.07%),8271.csv,3.42,"16,248",,,,,,,,
9474,ゼンリン,東P,905,+1.0(+0.11%),8271.csv,4.64,"51,858",,,,,,,,
9503,関西電力,東P,2608.5,+17.0(+0.66%),8271.csv,3.07,"2,908,287",,,,,,,,
9504,中国電力,東P,980.7,+0.4(+0.04%),8271.csv,3.06,"379,683",,,,,,,,
9506,東北電力,東P,1327.0,+13.5(+1.03%),8271.csv,3.09,"667,325",,,,,,,,
9509,北海道電力,東P,1094.0,+18.0(+1.67%),8271.csv,3.06,"235,529",,,,,,,,
9511,沖縄電力,東P,1172,-4.0(-0.34%),8271.csv,4.27,"66,720",,,,,,,,
9543,静岡ガス,東P,1287,+8.0(+0.63%),8271.csv,3.42,"98,060",,,,,,,,
9551,メタウォーター,東P,3140,-5.0(-0.16%),8274.csv,,,,,,13.18,14.98,14.60,16.07,
9552,クオンツ総研ＨＬＤＧ,東P,1095,+7.0(+0.64%),8274.csv,,,,,,17.90,27.52,19.92,13.10,
9554,ＡＶｉＣ,東G,1781,+60.0(+3.49%),8274.csv,,,,,,14.85,49.21,50.48,43.79,
9628,燦ＨＬＤＧ,東P,1375,-13.0(-0.94%),8271.csv / 8273.csv,4.15,"33,275",0.76,13.50,58.95,7.95,,,,
9682,ＤＴＳ,東P,1126,+6.0(+0.54%),8271.csv,3.37,"184,613",,,,,,,,
9692,シーイーシー,東P,2497,+24.0(+0.97%),8271.csv,3.40,"87,815",,,,,,,,
9697,カプコン,東P,4280.0,+14.0(+0.33%),8274.csv / 8275.csv,,"2,281,288",,22.10,,28.11,12.83,22.27,14.00,12.95
9715,トランス・コスモス,東P,3735,+0.0(+0.00%),8271.csv,3.76,"163,829",,,,,,,,
9716,乃村工藝社,東P,1270,+9.0(+0.71%),8271.csv,3.57,"152,269",,,,,,,,
9729,トーカイ,東P,2575,+2.0(+0.08%),8271.csv,3.18,"85,212",,,,,,,,
9733,ナガセ,東S,2349,+37.0(+1.60%),8271.csv,5.11,"71,516",,,,,,,,
9743,丹青社,東P,1521,+16.0(+1.06%),8271.csv,5.26,"73,653",,,,,,,,
9744,メイテックグループＨＬＤＧ,東P,3378.0,+12.0(+0.36%),8271.csv,5.53,"263,484",,,,,,,,
9757,船井総研ＨＬＤＧ,東P,1172,+0.0(+0.00%),8271.csv,4.10,"117,200",,,,,,,,
9759,ＮＳＤ,東P,2883.0,+2.0(+0.07%),8271.csv / 8275.csv,3.38,"247,938",,18.40,,,,5.58,8.14,13.43
9766,コナミグループ,東P,22240.0,+50.0(+0.23%),8274.csv / 8275.csv,,"3,191,440",,19.10,,24.29,12.31,24.78,14.68,35.25
9795,ステップ,東P,2312,+11.0(+0.48%),8271.csv,3.81,"38,541",,,,,,,,
9828,Ｇｅｎｋｉ　Ｇｌｏｂａｌ　Ｄｉ,東S,3565,+30.0(+0.85%),8274.csv,,,,,,14.27,22.44,23.43,15.65,
9837,モリト,東P,1810,-19.0(-1.04%),8271.csv / 8274.csv,3.98,"48,508",,,,13.83,15.18,13.13,16.17,
9889,ＪＢＣＣ　ＨＬＤＧ,東P,1728,+8.0(+0.47%),8271.csv,3.47,"122,852",,,,,,,,
9928,ミロク情報サービス,東P,1968,+29.0(+1.50%),8271.csv,3.30,"63,579",,,,,,,,
9960,東テク,東P,3820,+55.0(+1.46%),8271.csv,3.35,"160,302",,,,,,,,
9962,ミスミグループ本社,東P,3666.0,+2.0(+0.05%),8274.csv,,,,,,22.66,18.49,31.05,14.06,
9983,ファーストリテイリング,東P,72120.0,-410.0(-0.57%),8274.csv / 8275.csv,,"22,950,099",,20.20,,43.47,16.61,20.20,13.03,16.76
9989,サンドラッグ,東P,3749.0,-3.0(-0.08%),8271.csv / 8275.csv,3.69,"447,373",,11.30,,,,7.99,6.35,5.44
