コード,銘柄名,市場,現在値,前日比(%),入力CSV,配当利回り(予)(%),時価総額(百万円),PBR(株価純資産倍率)(倍),ROE(自己資本利益率)(%),自己資本比率(%),PER(株価収益率)(予)(倍),売上高成長率(予)(%),経常利益成長率(予)(%),過去3年平均売上高成長率(予)(%),経常利益変化率(%)
4047,関東電化工業,東P,2326,-7.0(-0.30%),8274.csv,,,,,,16.55,48.32,112.70,24.73,
4053,Ｓｕｎ　Ａｓｔｅｒｉｓｋ,東P,459,-7.0(-1.50%),8274.csv,,,,,,11.98,19.99,105.41,14.54,
4054,日本情報クリエイト,東G,521,-4.0(-0.76%),8274.csv,,,,,,17.90,15.12,22.08,11.41,
4062,イビデン,東P,20080.0,+100.0(+0.50%),8274.csv / 8275.csv,,"5,694,110",,12.20,,73.52,28.59,87.78,20.36,27.00
4064,日本カーバイド工業,東P,3370,-15.0(-0.44%),8271.csv,3.98,"31,744",,,,,,,,
4071,プラスアルファコンサルティング,東P,2194,-59.0(-2.62%),8274.csv,,,,,,17.01,14.50,155.22,18.57,
4072,電算システムＨＬＤＧ,東P,3050,+15.0(+0.49%),8271.csv,3.28,"32,942",,,,,,,,
4078,堺化学工業,東P,3945,-20.0(-0.50%),8271.csv,4.06,"69,112",,,,,,,,
4091,日本酸素ＨＤ,東P,5594.0,-59.0(-1.04%),8275.csv,,"2,422,721",,11.30,,,,16.21,5.37,21.69
4092,日本化学工業,東P,5430,+110.0(+2.07%),8271.csv,4.42,"48,451",,,,,,,,
4109,ステラ　ケミファ,東P,5460,+0.0(+0.00%),8271.csv,3.30,"70,834",,,,,,,,
4114,日本触媒,東P,2647.5,+8.5(+0.32%),8271.csv,4.96,"397,125",,,,,,,,
4118,カネカ,東P,6135.0,+10.0(+0.16%),8271.csv,3.21,"386,505",,,,,,,,
4125,三和油化工業,東S,3880,+60.0(+1.57%),8274.csv,,,,,,11.91,23.97,22.57,25.14,
414A,オーバーラップＨＬＤＧ,東G,902,+0.0(+0.00%),8271.csv,4.88,"18,106",,,,,,,,
4165,プレイド,東G,687,-1.0(-0.15%),8274.csv,,,,,,24.19,54.02,23.91,37.00,
4176,ココナラ,東G,289,+3.0(+1.05%),8274.csv,,,,,,17.95,12.64,111.45,26.84,
417A,ブルーゾーン　ＨＬＤＧ,東P,1870.5,+1.5(+0.08%),8275.csv,,"391,815",,12.40,,,,6.76,11.48,9.65
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,東P,1274,-8.0(-0.62%),8274.csv,,,,,,36.41,24.46,52.54,26.42,
4183,三井化学,東P,2124.0,+1.0(+0.05%),8271.csv,3.57,"853,184",,,,,,,,
4186,東京応化工業,東P,8730.0,+1.0(+0.01%),8274.csv / 8275.csv,,"1,115,694",,15.60,,26.01,20.01,26.50,18.97,42.60
4189,ＫＨネオケム,東P,3440,-30.0(-0.86%),8271.csv,3.88,"127,794",,,,,,,,
4193,ファブリカＨＬＤＧ,東S,2125,+5.0(+0.24%),8274.csv,,,,,,11.99,11.55,16.16,13.15,
4194,ビジョナル,東P,9234.0,-143.0(-1.53%),8274.csv / 8275.csv,,"373,858",,26.70,,21.79,24.15,11.39,22.66,22.94
4202,ダイセル,東P,1458.5,-1.0(-0.07%),8271.csv,4.68,"373,584",,,,,,,,
4204,積水化学工業,東P,2617.0,-4.5(-0.17%),8271.csv,3.14,"1,061,213",,,,,,,,
4205,日本ゼオン,東P,2414.0,+8.0(+0.33%),8271.csv,3.28,"505,133",,,,,,,,
4206,アイカ工業,東P,4150.0,+36.0(+0.88%),8271.csv,3.52,"280,501",,,,,,,,
4208,ＵＢＥ,東P,3542.0,+12.0(+0.34%),8271.csv,4.07,"376,161",,,,,,,,
4221,大倉工業,東P,5660,+90.0(+1.62%),8271.csv / 8274.csv,3.89,"70,268",,,,12.30,17.13,10.45,11.81,
4235,ウルトラファブリックスＨＬＤＧ,東S,691,+1.0(+0.14%),8271.csv,5.07,"11,723",,,,,,,,
4246,ダイキョーニシカワ,東P,1128,+9.0(+0.80%),8271.csv / 8273.csv,5.05,"80,086",0.84,9.80,55.90,8.12,,,,
4251,恵和,東P,1192,+8.0(+0.68%),8271.csv,4.19,"22,988",,,,,,,,
4258,網屋,東G,4120,-75.0(-1.79%),8274.csv,,,,,,38.25,22.97,22.14,23.74,
4259,エクサウィザーズ,東G,754,+4.0(+0.53%),8274.csv,,,,,,46.26,34.63,46.87,28.30,
4263,サスメド,東G,569,+0.0(+0.00%),8274.csv,,,,,,12.11,342.47,431.38,117.98,
4264,セキュア,東G,1460,-14.0(-0.95%),8274.csv,,,,,,18.89,34.49,134.11,21.35,
4272,日本化薬,東P,2093.0,+25.0(+1.21%),8271.csv,3.15,"311,229",,,,,,,,
428A,サイプレス・ＨＬＤＧ,東S,1388,-11.0(-0.79%),8274.csv,,,,,,32.13,12.51,38.93,11.27,
4290,プレステージ・インターナショナ,東P,737,-3.0(-0.41%),8271.csv,3.84,"93,815",,,,,,,,
4293,セプテーニＨＬＤＧ,東S,513,+4.0(+0.79%),8271.csv,3.51,"108,453",,,,,,,,
4308,Ｊストリーム,東G,358,-4.0(-1.10%),8271.csv,3.91,"10,045",,,,,,,,
4331,テイクアンドギヴ・ニーズ,東P,738,+3.0(+0.41%),8271.csv,5.42,"10,789",,,,,,,,
4345,シーティーエス,東P,839,+0.0(+0.00%),8271.csv,3.58,"35,238",,,,,,,,
4347,ブロードメディア,東S,1695,+25.0(+1.50%),8271.csv,3.83,"12,712",,,,,,,,
4362,日本精化,東P,2738,+30.0(+1.11%),8271.csv,3.80,"65,226",,,,,,,,
4368,扶桑化学工業,東P,3030,-25.0(-0.82%),8274.csv,,,,,,16.01,17.30,32.34,13.94,
4369,トリケミカル研究所,東P,3190,-55.0(-1.69%),8274.csv,,,,,,17.55,23.02,15.35,24.66,
4373,シンプレクス・ＨＬＤＧ,東P,1181,+6.0(+0.51%),8274.csv,,,,,,20.82,20.22,21.59,22.01,
4375,セーフィー,東G,666,-14.0(-2.06%),8274.csv,,,,,,185.00,20.87,436.13,23.62,
4377,ワンキャリア,東G,2493,+18.0(+0.73%),8274.csv,,,,,,20.84,38.58,40.16,39.43,
4385,メルカリ,東P,4568.0,+112.0(+2.51%),8274.csv / 8275.csv,,"755,083",,30.00,,20.77,14.69,21.87,16.84,51.74
438A,インフキュリオン,東G,981,+13.0(+1.34%),8274.csv,,,,,,40.82,15.72,197.62,23.82,
4403,日油,東P,2785.0,+12.5(+0.45%),8275.csv,,"658,720",,14.10,,,,9.46,14.81,8.15
4413,ボードルア,東P,2968,-1.0(-0.03%),8274.csv,,,,,,29.53,37.12,32.63,43.21,
4417,グローバルセキュリティエキスパ,東G,4575,+25.0(+0.55%),8274.csv,,,,,,32.66,27.02,39.51,26.12,
4419,ＦｉｎａｔｅｘｔＨＬＤＧ,東G,1448,+90.0(+6.63%),8274.csv,,,,,,33.60,40.36,78.68,41.92,
4431,スマレジ,東G,3430,+15.0(+0.44%),8274.csv,,,,,,26.54,18.77,16.13,19.68,
4432,ウイングアーク１ｓｔ,東P,3340,+30.0(+0.91%),8271.csv,3.25,"117,062",,,,,,,,
4433,ヒト・コミュニケーションズＨＤ,東P,909,+0.0(+0.00%),8271.csv,4.13,"16,270",,,,,,,,
4434,サーバーワークス,東S,2456,+56.0(+2.33%),8274.csv,,,,,,17.13,27.98,121.93,19.73,
4443,Ｓａｎｓａｎ,東P,2103,-50.0(-2.32%),8274.csv,,,,,,28.92,19.24,62.47,21.81,
4465,ニイタカ,東S,2446,+9.0(+0.37%),8271.csv,3.27,"14,537",,,,,,,,
446A,ノースサンド,東G,1975,+17.0(+0.87%),8274.csv,,,,,,21.11,50.31,62.16,54.84,
4477,ＢＡＳＥ,東G,312,+1.0(+0.32%),8274.csv,,,,,,18.14,33.15,47.81,31.42,
4478,フリー,東G,3815,-60.0(-1.55%),8274.csv,,,,,,78.94,20.37,385.66,23.91,
4480,メドレー,東P,2704,-35.0(-1.28%),8274.csv,,,,,,37.28,25.50,74.75,25.52,
4481,ベース,東P,3365,+95.0(+2.91%),8271.csv,5.53,"63,320",,,,,,,,
4483,ＪＭＤＣ,東P,3450,+25.0(+0.73%),8274.csv,,,,,,29.37,21.33,13.09,21.14,
4498,サイバートラスト,東G,1287,-21.0(-1.61%),8274.csv,,,,,,15.60,10.64,21.91,11.49,
4502,武田薬品工業,東P,5860.0,+47.0(+0.81%),8271.csv,3.49,"9,388,347",,,,,,,,
4516,日本新薬,東P,3607.0,+76.0(+2.15%),8271.csv / 8273.csv,3.58,"253,397",0.83,11.00,84.18,8.13,,,,
4519,中外製薬,東P,7051.0,+101.0(+1.45%),8275.csv,,"11,839,038",,22.10,,,,17.37,8.70,10.09
4521,科研製薬,東P,4015,+30.0(+0.75%),8271.csv,4.73,"177,221",,,,,,,,
4523,エーザイ,東P,4833.0,-28.0(-0.58%),8271.csv,3.31,"1,409,540",,,,,,,,
4526,理研ビタミン,東P,3435,+95.0(+2.84%),8271.csv,3.20,"105,472",,,,,,,,
4528,小野薬品工業,東P,2491.0,+32.0(+1.30%),8271.csv,3.21,"1,242,244",,,,,,,,
4540,ツムラ,東P,3804.0,+21.0(+0.56%),8271.csv,4.15,"291,989",,,,,,,,
